id,code,name,material_type_ATUAL,category_ATUAL,subcategory_ATUAL,purchase_unit,usage_unit,conversion_factor,status,material_type_NOVO,category_NOVO,subcategory_NOVO,OBSERVACOES
7af43988-e29a-4bf4-a261-d772f5a81f96,FIN0001,Cupcake de Limão,finished_product,Produto Acabado,"Doces (bolos, tortas, confeitaria)",un,un,1,,Produto Acabado,Produtos Prontos,Doces & Confeitaria,
0c069334-a006-46ea-afbf-b064c186bffc,INT0011,Massa Base Para Brownie Cacau,intermediate_product,Produto Intermediário,Massas & Bases,g,g,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
75c803fc-1b25-4000-8a15-4f90f2207bbc,INS0127,Tomate,ingredient,Insumo,Hortifruti,kg,kg,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
570cd35b-c80d-4470-acd5-cc1ef7eebd58,FIN0005,Cookie Alto Clássico,finished_product,Produto Acabado,"Doces (bolos, tortas, confeitaria)",g,g,1,,Produto Acabado,Produtos Prontos,Doces & Confeitaria,
8d246886-4c29-47be-b0e0-65814abe1bf4,INS0126,ALCOOL 70%,ingredient,Higiene e Limpeza,"Higiene (álcool, papel, luvas)",unidade,mL,1000,,Insumo,Higiene & Limpeza,Higiene,
408f80ef-80cf-4610-9955-f50b1a7d050f,INT0015,Pão Mini Australiano,intermediate_product,Produto Intermediário,Massas & Bases,unidade,unidade,1,,Produto Intermediário,Produtos Intermediários,Massas & Bases,
2adf97f0-c436-419b-af4b-433afbb55c74,INS0015,Baguete,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
de2c861d-3c16-4bdd-9f6d-9b0be0adfe30,INS0022,Banana ,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
d39ee263-ab97-4822-b37b-da306688fd7f,INS0018,Bergamota,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
f97629c6-bfac-4cb9-9442-afa7e6e686a1,INS0027,Pasta de azeitona,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
354d94c8-8df0-4e31-b789-cc6b01778500,INS0007,Caponata,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
7a65dc18-0906-4542-9b7f-132e0ce513e5,INS0002,Bisnaga artesano,ingredient,Insumo,graos_cereais,pacote,unidade,16,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
b67e6bb5-8159-4897-a865-b537504fc4df,INS0128,Cebola,ingredient,Insumo,Hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
