id,code,name,material_type_ATUAL,category_ATUAL,subcategory_ATUAL,purchase_unit,usage_unit,conversion_factor,status,material_type_NOVO,category_NOVO,subcategory_NOVO,OBSERVACOES
3789a296-7a99-40c9-b44f-30969be63ae1,INS0041,Limão tahiti,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
01d23313-f1fe-4b78-aedc-0e31dc1434b8,INS0053,Maçã,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
9799f6ad-bd7b-4747-bfdf-27ce89cf486f,INS0009,Mamão papaya,ingredient,Insumo,hortifruti,unidade,unidade,1,,Insumo,Alimentos & Ingredientes,Hortifruti,
4256bb0b-970b-45fe-9f22-3b2ad3919183,INS0020,Manteiga sem sal,ingredient,Insumo,laticinios,unidade,g,200,,Insumo,Alimentos & Ingredientes,Laticínios,
b0a8f4da-0fb6-41c9-ba1a-751d89e13631,INS0044,Margarina,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
4f013196-cb30-4e3e-bc6b-0fe949f06126,INS0012,Melão espanhol,ingredient,Insumo,hortifruti,kg,g,1000,,Insumo,Alimentos & Ingredientes,Hortifruti,
33f4baa2-e9de-4bbf-8e33-43bfcdb54f77,INS0029,Mini pão francês ,ingredient,Insumo,graos_cereais,kg,unidade,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
c371eabf-4a1c-4e58-aaba-ee61f5301e0d,INS0013,Morango,ingredient,Insumo,hortifruti,caixa,g,250,,Insumo,Alimentos & Ingredientes,Hortifruti,
fa92274f-b763-4688-acca-6e434a3590f5,INS0014,Nata,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
79407d82-06f9-49f8-967a-d428aaefdb13,INS0023,Nozes chilenas,ingredient,Insumo,graos_cereais,kg,g,1000,,Insumo,Alimentos & Ingredientes,Grãos & Cereais,
51ede156-6956-46db-9a7e-d798920b05da,INS0129,Sardinha Enlatada,ingredient,Insumo,Proteínas,lata,g,90,,Insumo,Alimentos & Ingredientes,Proteínas,
710f4bb3-2494-4846-8700-f6213c47c2c4,INS0117,Páprica picante,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
a8a8799c-82c2-4d23-967e-9b76c83398bd,INS0095,Pasta de tomate seco,ingredient,Insumo,conservas_enlatados,kg,g,1000,,Insumo,Alimentos & Ingredientes,Conservas & Enlatados,
268c94f1-e629-4f70-9373-0a8bf4357e25,INS0102,Pastrami,ingredient,Insumo,carnes_proteinas,kg,g,1000,,Insumo,Alimentos & Ingredientes,Proteínas,
2ac9bb59-2a24-4001-92cd-0ac6490f78ca,INS0114,Pernil,ingredient,Insumo,carnes_proteinas,kg,g,1000,,Insumo,Alimentos & Ingredientes,Proteínas,
351f6b25-ef8b-4c33-9f14-37b1a08b1829,INS0100,Queijo Azul,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
f5badb38-8ad3-4512-8153-a46038150cff,INS0106,Queijo brie,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
76182a04-debe-4ea1-8c3c-0201d288d32b,INS0070,Queijo camenbert,ingredient,Insumo,laticinios,unidade,g,1,,Insumo,Alimentos & Ingredientes,Laticínios,
7f93b5fd-4bb4-4dc4-ba8d-258ccbb4ea0a,INS0105,Queijo colonial,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
f4cb39e8-e882-494c-9926-45eae1f1ce1e,INS0072,Queijo maasdam,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
15699e25-26ac-4a75-a6a6-d21183782062,INS0097,Queijo parmesão,ingredient,Insumo,laticinios,kg,g,1000,,Insumo,Alimentos & Ingredientes,Laticínios,
73d79cbf-84b2-4129-9de0-b3c2662b98b3,INS0108,Sal,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
d96e81b1-9416-43ab-b52a-32f1f74629f1,INS0111,Sal grosso,ingredient,Insumo,condimentos_temperos,kg,g,1000,,Insumo,Alimentos & Ingredientes,Condimentos & Temperos,
